Id,Category
321187,agreed
321190,agreed
321189,unrelated
321193,agreed
321191,unrelated
321194,agreed
321192,unrelated
321197,agreed
321195,agreed
321199,unrelated
321198,agreed
321201,agreed
321196,agreed
321200,agreed
321203,unrelated
321202,agreed
321206,agreed
321204,agreed
321207,agreed
321208,agreed
321205,agreed
321209,agreed
321211,agreed
321210,agreed
321214,agreed
321213,agreed
321215,agreed
321212,agreed
321218,agreed
321220,agreed
321216,agreed
321219,agreed
321217,agreed
321221,agreed
321223,agreed
321225,agreed
321224,agreed
321222,unrelated
321226,agreed
321228,agreed
321227,agreed
321230,agreed
321232,agreed
321229,agreed
321231,agreed
321234,agreed
321233,agreed
321235,agreed
321239,agreed
321237,agreed
321238,agreed
321242,agreed
321236,agreed
321240,agreed
321241,agreed
321245,agreed
321243,agreed
321244,agreed
321247,agreed
321249,agreed
321253,unrelated
321251,unrelated
321248,agreed
321246,agreed
321250,agreed
321254,agreed
321252,unrelated
321257,agreed
321255,agreed
321258,agreed
321256,agreed
321260,agreed
321259,agreed
321261,agreed
321262,agreed
321263,agreed
321264,unrelated
321267,agreed
321271,agreed
321269,agreed
321266,agreed
321265,unrelated
321270,agreed
321273,agreed
321268,agreed
321272,agreed
321274,agreed
321275,agreed
321276,agreed
321277,agreed
321279,agreed
321278,unrelated
321280,agreed
321281,agreed
321286,agreed
321285,agreed
321282,agreed
321284,unrelated
321288,agreed
321283,agreed
321287,agreed
321290,agreed
321289,agreed
321291,agreed
321293,agreed
321292,agreed
321294,agreed
321297,agreed
321296,unrelated
321295,agreed
321298,agreed
321300,agreed
321299,agreed
321301,agreed
321305,agreed
321302,agreed
321304,agreed
321307,unrelated
321308,agreed
321303,agreed
321309,agreed
321311,agreed
321310,agreed
321314,agreed
321306,agreed
321312,agreed
321313,agreed
321315,agreed
321317,agreed
321316,unrelated
321318,agreed
321319,agreed
321320,agreed
321323,agreed
321321,agreed
321328,agreed
321324,agreed
321322,agreed
321326,agreed
321325,agreed
321329,agreed
321327,agreed
321330,agreed
321332,agreed
321335,agreed
321336,agreed
321334,agreed
321338,agreed
321337,agreed
321333,agreed
321331,agreed
321341,agreed
321342,agreed
321339,agreed
321340,agreed
321343,agreed
321344,agreed
321348,agreed
321346,unrelated
321345,agreed
321349,unrelated
321352,unrelated
321355,agreed
321354,agreed
321351,agreed
321353,unrelated
321350,agreed
321347,unrelated
321356,agreed
321357,agreed
321358,agreed
321359,unrelated
321360,agreed
321361,agreed
321363,agreed
321364,agreed
321362,agreed
321365,agreed
321366,agreed
321369,agreed
321368,agreed
321367,agreed
321372,agreed
321370,agreed
321373,agreed
321371,agreed
321374,agreed
321375,agreed
321377,agreed
321376,agreed
321378,agreed
321379,agreed
321380,agreed
321381,agreed
321382,agreed
321383,agreed
321384,agreed
321385,agreed
321386,agreed
321387,agreed
321389,agreed
321388,agreed
321391,agreed
321390,agreed
321392,agreed
321393,unrelated
321395,agreed
321397,unrelated
321396,unrelated
321394,unrelated
321399,unrelated
321398,agreed
321400,unrelated
321402,unrelated
321403,unrelated
321401,unrelated
321404,unrelated
321406,agreed
321409,unrelated
321408,unrelated
321405,unrelated
321407,unrelated
321411,agreed
321410,unrelated
321412,agreed
321413,unrelated
321414,unrelated
321417,unrelated
321415,unrelated
321416,unrelated
321420,unrelated
321418,unrelated
321419,unrelated
321422,agreed
321421,agreed
321425,unrelated
321423,unrelated
321424,unrelated
321427,unrelated
321430,agreed
321426,unrelated
321429,unrelated
321431,unrelated
321432,unrelated
321428,unrelated
321435,unrelated
321436,unrelated
321433,unrelated
321434,agreed
321437,unrelated
321438,unrelated
321439,agreed
